id_instancia,modelo,dataset,abordagem,status,status_avaliacao,resposta_final_extraida,referencia_curta,exact_match,numeric_match,symbolic_equivalence,answer_match_objetivo,answer_match,correta,metrica_objetiva,fonte_avaliacao_principal,necessita_llm_juiz,pontuacao_juiz,tipo_erro,confianca_juiz,truthfulness,informativeness,oracle_at_3,veredito_juiz_primario,veredito_juiz_posicao_reversa,veredito_juiz_secundario,human_veredito,human_truthfulness,human_informativeness,duracao_segundos,numero_chamadas_slm,input_tokens,output_tokens,total_tokens,tokens_per_second,model_total_duration_seconds,melhor_abordagem,ranking_abordagens,judge_model,secondary_judge_model,arquivo_origem
arc_0011,gemma4:e4b,ARC-Challenge,base,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,134.7,1,206,338,544,98.8725,19.855048,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0011,gemma4:e4b,ARC-Challenge,cot,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,182.56,1,223,585,808,98.7682,20.012232,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0011,gemma4:e4b,ARC-Challenge,gflow,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,169.64,3,665,2247,2912,98.6867,85.907447,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0011,gemma4:e4b,ARC-Challenge,for,ok,,A,A,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,109.45,1,304,639,943,98.5934,16.639177,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0012,gemma4:e4b,ARC-Challenge,base,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,109.64,1,218,212,430,99.2014,14.81695,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0012,gemma4:e4b,ARC-Challenge,cot,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,126.61,1,235,529,764,99.0134,24.719776,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0012,gemma4:e4b,ARC-Challenge,gflow,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,158.7,3,701,1901,2602,98.8564,72.3125,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0012,gemma4:e4b,ARC-Challenge,for,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,144.75,1,316,857,1173,98.5148,25.327703,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0014,gemma4:e4b,ARC-Challenge,base,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,191.56,1,184,309,493,99.5629,20.649117,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0014,gemma4:e4b,ARC-Challenge,cot,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,,,,,,,,124.52,1,201,456,657,99.0275,20.197682,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0014,gemma4:e4b,ARC-Challenge,gflow,ok,,C,C,1,,,1,1,1,multiple_choice_match,deterministica,False,,,,,,1,,,,,,,140.69,3,599,1638,2237,99.1099,64.666309,,[],,,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
