dataset,abordagem,total,deterministicamente_avaliadas,corretas_deterministicas,pendentes_llm_juiz
ARC-Challenge,base,200,195,177,5
ARC-Challenge,cot,100,99,95,1
ARC-Challenge,for,100,99,95,1
ARC-Challenge,gflow,100,99,94,1
EleutherAI/hendrycks_math,base,200,173,88,27
EleutherAI/hendrycks_math,cot,100,75,73,25
EleutherAI/hendrycks_math,for,100,75,69,25
EleutherAI/hendrycks_math,gflow,100,83,73,17
GSM8K,base,200,199,111,1
GSM8K,cot,100,100,93,0
GSM8K,for,100,99,91,1
GSM8K,gflow,100,100,92,0
truthfulqa/truthful_qa,base,200,0,0,200
truthfulqa/truthful_qa,cot,100,0,0,100
truthfulqa/truthful_qa,for,100,0,0,100
truthfulqa/truthful_qa,gflow,100,0,0,100
