id_instancia,modelo,dataset,abordagem,status,resposta_final_extraida,referencia_curta,veredito_deterministico,exact_match,numeric_match,symbolic_equivalence,metrica_deterministica,fonte_avaliacao_recomendada,necessita_llm_juiz,arquivo_origem
arc_0011,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0011,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0011,gemma4:e4b,ARC-Challenge,gflow,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0011,gemma4:e4b,ARC-Challenge,for,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0012,gemma4:e4b,ARC-Challenge,base,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0012,gemma4:e4b,ARC-Challenge,cot,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0012,gemma4:e4b,ARC-Challenge,gflow,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0012,gemma4:e4b,ARC-Challenge,for,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0014,gemma4:e4b,ARC-Challenge,base,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0014,gemma4:e4b,ARC-Challenge,cot,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0014,gemma4:e4b,ARC-Challenge,gflow,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0014,gemma4:e4b,ARC-Challenge,for,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0022,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0022,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
arc_0022,gemma4:e4b,ARC-Challenge,gflow,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260624_040601\geracao\gsm8k_arc\rodada_20260624_040601\resultados_gsm8k_arc.json
